Student ID,Roll No,Name,Code,Total Marks,Obtained Marks,Credits
16,3004,Physics,301,100,62,4
16,3004,Chemistry,302,100,58,4
16,3004,Biology,303,100,74,3
16,3004,Mathematics,304,100,80,3
16,3004,English,305,100,67,2
17,3005,Physics,301,100,70,4
17,3005,Chemistry,302,100,75,4
17,3005,Biology,303,100,68,3
17,3005,Mathematics,304,100,82,3
17,3005,English,305,100,90,2
19,1006,Mathematics,101,100,78,4
19,1006,C++,102,100,85,3
19,1006,English,103,100,72,2
19,1006,Data Structures,104,100,91,4
19,1006,Networking,105,100,66,3
20,1007,Mathematics,101,100,95,4
20,1007,C++,102,100,92,3
20,1007,English,103,100,85,2
20,1007,Data Structures,104,100,79,4
20,1007,Networking,105,100,88,3
21,2003,Algorithms,201,100,55,4
21,2003,DBMS,202,100,60,4
21,2003,OS,203,100,48,3
21,2003,Networks,204,100,71,3
21,2003,Python,205,100,83,3
22,3006,Physics,301,100,62,4
22,3006,Chemistry,302,100,58,4
22,3006,Biology,303,100,74,3
22,3006,Mathematics,304,100,80,3
22,3006,English,305,100,67,2
23,3007,Physics,301,100,70,4
23,3007,Chemistry,302,100,75,4
23,3007,Biology,303,100,68,3
23,3007,Mathematics,304,100,82,3
23,3007,English,305,100,90,2
25,1008,Mathematics,101,100,78,4
25,1008,C++,102,100,85,3
25,1008,English,103,100,72,2
25,1008,Data Structures,104,100,91,4
25,1008,Networking,105,100,66,3
26,1009,Mathematics,101,100,95,4
26,1009,C++,102,100,92,3
26,1009,English,103,100,85,2
26,1009,Data Structures,104,100,79,4
26,1009,Networking,105,100,88,3
27,2004,Algorithms,201,100,55,4
27,2004,DBMS,202,100,60,4
27,2004,OS,203,100,48,3
27,2004,Networks,204,100,71,3
27,2004,Python,205,100,83,3
28,3008,Physics,301,100,62,4
28,3008,Chemistry,302,100,58,4
28,3008,Biology,303,100,74,3
28,3008,Mathematics,304,100,80,3
28,3008,English,305,100,67,2
29,3009,Physics,301,100,70,4
29,3009,Chemistry,302,100,75,4
29,3009,Biology,303,100,68,3
29,3009,Mathematics,304,100,82,3
29,3009,English,305,100,90,2
31,1010,Mathematics,101,100,78,4
31,1010,C++,102,100,85,3
31,1010,English,103,100,72,2
31,1010,Data Structures,104,100,91,4
31,1010,Networking,105,100,66,3
32,1011,Mathematics,101,100,95,4
32,1011,C++,102,100,92,3
32,1011,English,103,100,85,2
32,1011,Data Structures,104,100,79,4
32,1011,Networking,105,100,88,3
33,2005,Algorithms,201,100,55,4
33,2005,DBMS,202,100,60,4
33,2005,OS,203,100,48,3
33,2005,Networks,204,100,71,3
33,2005,Python,205,100,83,3
34,3010,Physics,301,100,62,4
34,3010,Chemistry,302,100,58,4
34,3010,Biology,303,100,74,3
34,3010,Mathematics,304,100,80,3
34,3010,English,305,100,67,2
35,3011,Physics,301,100,70,4
35,3011,Chemistry,302,100,75,4
35,3011,Biology,303,100,68,3
35,3011,Mathematics,304,100,82,3
35,3011,English,305,100,90,2
37,1012,Mathematics,101,100,78,4
37,1012,C++,102,100,85,3
37,1012,English,103,100,72,2
37,1012,Data Structures,104,100,91,4
37,1012,Networking,105,100,66,3
38,1013,Mathematics,101,100,95,4
38,1013,C++,102,100,92,3
38,1013,English,103,100,85,2
38,1013,Data Structures,104,100,79,4
38,1013,Networking,105,100,88,3
39,2006,Algorithms,201,100,55,4
39,2006,DBMS,202,100,60,4
39,2006,OS,203,100,48,3
39,2006,Networks,204,100,71,3
39,2006,Python,205,100,83,3
40,3012,Physics,301,100,62,4
40,3012,Chemistry,302,100,58,4
40,3012,Biology,303,100,74,3
40,3012,Mathematics,304,100,80,3
40,3012,English,305,100,67,2
41,3013,Physics,301,100,70,4
41,3013,Chemistry,302,100,75,4
41,3013,Biology,303,100,68,3
41,3013,Mathematics,304,100,82,3
41,3013,English,305,100,90,2
43,1014,Mathematics,101,100,78,4
43,1014,C++,102,100,85,3
43,1014,English,103,100,72,2
43,1014,Data Structures,104,100,91,4
43,1014,Networking,105,100,66,3
44,1015,Mathematics,101,100,95,4
44,1015,C++,102,100,92,3
44,1015,English,103,100,85,2
44,1015,Data Structures,104,100,79,4
44,1015,Networking,105,100,88,3
45,2007,Algorithms,201,100,55,4
45,2007,DBMS,202,100,60,4
45,2007,OS,203,100,48,3
45,2007,Networks,204,100,71,3
45,2007,Python,205,100,83,3
46,3014,Physics,301,100,62,4
46,3014,Chemistry,302,100,58,4
46,3014,Biology,303,100,74,3
46,3014,Mathematics,304,100,80,3
46,3014,English,305,100,67,2
47,3015,Physics,301,100,70,4
47,3015,Chemistry,302,100,75,4
47,3015,Biology,303,100,68,3
47,3015,Mathematics,304,100,82,3
47,3015,English,305,100,90,2
49,1016,Mathematics,101,100,78,4
49,1016,C++,102,100,85,3
49,1016,English,103,100,72,2
49,1016,Data Structures,104,100,91,4
49,1016,Networking,105,100,66,3
50,1017,Mathematics,101,100,95,4
50,1017,C++,102,100,92,3
50,1017,English,103,100,85,2
50,1017,Data Structures,104,100,79,4
50,1017,Networking,105,100,88,3
51,2008,Algorithms,201,100,55,4
51,2008,DBMS,202,100,60,4
51,2008,OS,203,100,48,3
51,2008,Networks,204,100,71,3
51,2008,Python,205,100,83,3
52,3016,Physics,301,100,62,4
52,3016,Chemistry,302,100,58,4
52,3016,Biology,303,100,74,3
52,3016,Mathematics,304,100,80,3
52,3016,English,305,100,67,2
53,3017,Physics,301,100,70,4
53,3017,Chemistry,302,100,75,4
53,3017,Biology,303,100,68,3
53,3017,Mathematics,304,100,82,3
53,3017,English,305,100,90,2
55,1018,Mathematics,101,100,78,4
55,1018,C++,102,100,85,3
55,1018,English,103,100,72,2
55,1018,Data Structures,104,100,91,4
55,1018,Networking,105,100,66,3
56,1019,Mathematics,101,100,95,4
56,1019,C++,102,100,92,3
56,1019,English,103,100,85,2
56,1019,Data Structures,104,100,79,4
56,1019,Networking,105,100,88,3
57,2009,Algorithms,201,100,55,4
57,2009,DBMS,202,100,60,4
57,2009,OS,203,100,48,3
57,2009,Networks,204,100,71,3
57,2009,Python,205,100,83,3
58,3018,Physics,301,100,62,4
58,3018,Chemistry,302,100,58,4
58,3018,Biology,303,100,74,3
58,3018,Mathematics,304,100,80,3
58,3018,English,305,100,67,2
59,3019,Physics,301,100,70,4
59,3019,Chemistry,302,100,75,4
59,3019,Biology,303,100,68,3
59,3019,Mathematics,304,100,82,3
59,3019,English,305,100,90,2
61,1020,Mathematics,101,100,78,4
61,1020,C++,102,100,85,3
61,1020,English,103,100,72,2
61,1020,Data Structures,104,100,91,4
61,1020,Networking,105,100,66,3
62,1021,Mathematics,101,100,95,4
62,1021,C++,102,100,92,3
62,1021,English,103,100,85,2
62,1021,Data Structures,104,100,79,4
62,1021,Networking,105,100,88,3
63,2010,Algorithms,201,100,55,4
63,2010,DBMS,202,100,60,4
63,2010,OS,203,100,48,3
63,2010,Networks,204,100,71,3
63,2010,Python,205,100,83,3
64,3020,Physics,301,100,62,4
64,3020,Chemistry,302,100,58,4
64,3020,Biology,303,100,74,3
64,3020,Mathematics,304,100,80,3
64,3020,English,305,100,67,2
65,3021,Physics,301,100,70,4
65,3021,Chemistry,302,100,75,4
65,3021,Biology,303,100,68,3
65,3021,Mathematics,304,100,82,3
65,3021,English,305,100,90,2
67,1022,Mathematics,101,100,78,4
67,1022,C++,102,100,85,3
67,1022,English,103,100,72,2
67,1022,Data Structures,104,100,91,4
67,1022,Networking,105,100,66,3
68,1023,Mathematics,101,100,95,4
68,1023,C++,102,100,92,3
68,1023,English,103,100,85,2
68,1023,Data Structures,104,100,79,4
68,1023,Networking,105,100,88,3
69,2011,Algorithms,201,100,55,4
69,2011,DBMS,202,100,60,4
69,2011,OS,203,100,48,3
69,2011,Networks,204,100,71,3
69,2011,Python,205,100,83,3
70,3022,Physics,301,100,62,4
70,3022,Chemistry,302,100,58,4
70,3022,Biology,303,100,74,3
70,3022,Mathematics,304,100,80,3
70,3022,English,305,100,67,2
71,3023,Physics,301,100,70,4
71,3023,Chemistry,302,100,75,4
71,3023,Biology,303,100,68,3
71,3023,Mathematics,304,100,82,3
71,3023,English,305,100,90,2
73,1024,Mathematics,101,100,78,4
73,1024,C++,102,100,85,3
73,1024,English,103,100,72,2
73,1024,Data Structures,104,100,91,4
73,1024,Networking,105,100,66,3
74,1025,Mathematics,101,100,95,4
74,1025,C++,102,100,92,3
74,1025,English,103,100,85,2
74,1025,Data Structures,104,100,79,4
74,1025,Networking,105,100,88,3
75,2012,Algorithms,201,100,55,4
75,2012,DBMS,202,100,60,4
75,2012,OS,203,100,48,3
75,2012,Networks,204,100,71,3
75,2012,Python,205,100,83,3
76,3024,Physics,301,100,62,4
76,3024,Chemistry,302,100,58,4
76,3024,Biology,303,100,74,3
76,3024,Mathematics,304,100,80,3
76,3024,English,305,100,67,2
77,3025,Physics,301,100,70,4
77,3025,Chemistry,302,100,75,4
77,3025,Biology,303,100,68,3
77,3025,Mathematics,304,100,82,3
77,3025,English,305,100,90,2
79,1026,Mathematics,101,100,78,4
79,1026,C++,102,100,85,3
79,1026,English,103,100,72,2
79,1026,Data Structures,104,100,91,4
79,1026,Networking,105,100,66,3
80,1027,Mathematics,101,100,95,4
80,1027,C++,102,100,92,3
80,1027,English,103,100,85,2
80,1027,Data Structures,104,100,79,4
80,1027,Networking,105,100,88,3
81,2013,Algorithms,201,100,55,4
81,2013,DBMS,202,100,60,4
81,2013,OS,203,100,48,3
81,2013,Networks,204,100,71,3
81,2013,Python,205,100,83,3
82,3026,Physics,301,100,62,4
82,3026,Chemistry,302,100,58,4
82,3026,Biology,303,100,74,3
82,3026,Mathematics,304,100,80,3
82,3026,English,305,100,67,2
83,3027,Physics,301,100,70,4
83,3027,Chemistry,302,100,75,4
83,3027,Biology,303,100,68,3
83,3027,Mathematics,304,100,82,3
83,3027,English,305,100,90,2
85,1028,Mathematics,101,100,78,4
85,1028,C++,102,100,85,3
85,1028,English,103,100,72,2
85,1028,Data Structures,104,100,91,4
85,1028,Networking,105,100,66,3
86,1029,Mathematics,101,100,95,4
86,1029,C++,102,100,92,3
86,1029,English,103,100,85,2
86,1029,Data Structures,104,100,79,4
86,1029,Networking,105,100,88,3
87,2014,Algorithms,201,100,55,4
87,2014,DBMS,202,100,60,4
87,2014,OS,203,100,48,3
87,2014,Networks,204,100,71,3
87,2014,Python,205,100,83,3
88,3028,Physics,301,100,62,4
88,3028,Chemistry,302,100,58,4
88,3028,Biology,303,100,74,3
88,3028,Mathematics,304,100,80,3
88,3028,English,305,100,67,2
89,3029,Physics,301,100,70,4
89,3029,Chemistry,302,100,75,4
89,3029,Biology,303,100,68,3
89,3029,Mathematics,304,100,82,3
89,3029,English,305,100,90,2
91,1030,Mathematics,101,100,78,4
91,1030,C++,102,100,85,3
91,1030,English,103,100,72,2
91,1030,Data Structures,104,100,91,4
91,1030,Networking,105,100,66,3
92,1031,Mathematics,101,100,95,4
92,1031,C++,102,100,92,3
92,1031,English,103,100,85,2
92,1031,Data Structures,104,100,79,4
92,1031,Networking,105,100,88,3
93,2015,Algorithms,201,100,55,4
93,2015,DBMS,202,100,60,4
93,2015,OS,203,100,48,3
93,2015,Networks,204,100,71,3
93,2015,Python,205,100,83,3
94,3030,Physics,301,100,62,4
94,3030,Chemistry,302,100,58,4
94,3030,Biology,303,100,74,3
94,3030,Mathematics,304,100,80,3
94,3030,English,305,100,67,2
95,3031,Physics,301,100,70,4
95,3031,Chemistry,302,100,75,4
95,3031,Biology,303,100,68,3
95,3031,Mathematics,304,100,82,3
95,3031,English,305,100,90,2
97,1032,Mathematics,101,100,78,4
97,1032,C++,102,100,85,3
97,1032,English,103,100,72,2
97,1032,Data Structures,104,100,91,4
97,1032,Networking,105,100,66,3
98,1033,Mathematics,101,100,95,4
98,1033,C++,102,100,92,3
98,1033,English,103,100,85,2
98,1033,Data Structures,104,100,79,4
98,1033,Networking,105,100,88,3
99,2016,Algorithms,201,100,55,4
99,2016,DBMS,202,100,60,4
99,2016,OS,203,100,48,3
99,2016,Networks,204,100,71,3
99,2016,Python,205,100,83,3
100,3032,Physics,301,100,62,4
100,3032,Chemistry,302,100,58,4
100,3032,Biology,303,100,74,3
100,3032,Mathematics,304,100,80,3
100,3032,English,305,100,67,2
101,3033,Physics,301,100,70,4
101,3033,Chemistry,302,100,75,4
101,3033,Biology,303,100,68,3
101,3033,Mathematics,304,100,82,3
101,3033,English,305,100,90,2
103,1034,Mathematics,101,100,78,4
103,1034,C++,102,100,85,3
103,1034,English,103,100,72,2
103,1034,Data Structures,104,100,91,4
103,1034,Networking,105,100,66,3
104,1035,Mathematics,101,100,95,4
104,1035,C++,102,100,92,3
104,1035,English,103,100,85,2
104,1035,Data Structures,104,100,79,4
104,1035,Networking,105,100,88,3
105,2017,Algorithms,201,100,55,4
105,2017,DBMS,202,100,60,4
105,2017,OS,203,100,48,3
105,2017,Networks,204,100,71,3
105,2017,Python,205,100,83,3
106,3034,Physics,301,100,62,4
106,3034,Chemistry,302,100,58,4
106,3034,Biology,303,100,74,3
106,3034,Mathematics,304,100,80,3
106,3034,English,305,100,67,2
107,3035,Physics,301,100,70,4
107,3035,Chemistry,302,100,75,4
107,3035,Biology,303,100,68,3
107,3035,Mathematics,304,100,82,3
107,3035,English,305,100,90,2
109,1036,Mathematics,101,100,78,4
109,1036,C++,102,100,85,3
109,1036,English,103,100,72,2
109,1036,Data Structures,104,100,91,4
109,1036,Networking,105,100,66,3
110,1037,Mathematics,101,100,95,4
110,1037,C++,102,100,92,3
110,1037,English,103,100,85,2
110,1037,Data Structures,104,100,79,4
110,1037,Networking,105,100,88,3
111,2018,Algorithms,201,100,55,4
111,2018,DBMS,202,100,60,4
111,2018,OS,203,100,48,3
111,2018,Networks,204,100,71,3
111,2018,Python,205,100,83,3
112,3036,Physics,301,100,62,4
112,3036,Chemistry,302,100,58,4
112,3036,Biology,303,100,74,3
112,3036,Mathematics,304,100,80,3
112,3036,English,305,100,67,2
113,3037,Physics,301,100,70,4
113,3037,Chemistry,302,100,75,4
113,3037,Biology,303,100,68,3
113,3037,Mathematics,304,100,82,3
113,3037,English,305,100,90,2
115,1038,Mathematics,101,100,78,4
115,1038,C++,102,100,85,3
115,1038,English,103,100,72,2
115,1038,Data Structures,104,100,91,4
115,1038,Networking,105,100,66,3
116,1039,Mathematics,101,100,95,4
116,1039,C++,102,100,92,3
116,1039,English,103,100,85,2
116,1039,Data Structures,104,100,79,4
116,1039,Networking,105,100,88,3
117,2019,Algorithms,201,100,55,4
117,2019,DBMS,202,100,60,4
117,2019,OS,203,100,48,3
117,2019,Networks,204,100,71,3
117,2019,Python,205,100,83,3
118,3038,Physics,301,100,62,4
118,3038,Chemistry,302,100,58,4
118,3038,Biology,303,100,74,3
118,3038,Mathematics,304,100,80,3
118,3038,English,305,100,67,2
119,3039,Physics,301,100,70,4
119,3039,Chemistry,302,100,75,4
119,3039,Biology,303,100,68,3
119,3039,Mathematics,304,100,82,3
119,3039,English,305,100,90,2
121,1040,Mathematics,101,100,78,4
121,1040,C++,102,100,85,3
121,1040,English,103,100,72,2
121,1040,Data Structures,104,100,91,4
121,1040,Networking,105,100,66,3
122,1041,Mathematics,101,100,95,4
122,1041,C++,102,100,92,3
122,1041,English,103,100,85,2
122,1041,Data Structures,104,100,79,4
122,1041,Networking,105,100,88,3
123,2020,Algorithms,201,100,55,4
123,2020,DBMS,202,100,60,4
123,2020,OS,203,100,48,3
123,2020,Networks,204,100,71,3
123,2020,Python,205,100,83,3
124,3040,Physics,301,100,62,4
124,3040,Chemistry,302,100,58,4
124,3040,Biology,303,100,74,3
124,3040,Mathematics,304,100,80,3
124,3040,English,305,100,67,2
125,3041,Physics,301,100,70,4
125,3041,Chemistry,302,100,75,4
125,3041,Biology,303,100,68,3
125,3041,Mathematics,304,100,82,3
125,3041,English,305,100,90,2
127,1042,Mathematics,101,100,78,4
127,1042,C++,102,100,85,3
127,1042,English,103,100,72,2
127,1042,Data Structures,104,100,91,4
127,1042,Networking,105,100,66,3
128,1043,Mathematics,101,100,95,4
128,1043,C++,102,100,92,3
128,1043,English,103,100,85,2
128,1043,Data Structures,104,100,79,4
128,1043,Networking,105,100,88,3
129,2021,Algorithms,201,100,55,4
129,2021,DBMS,202,100,60,4
129,2021,OS,203,100,48,3
129,2021,Networks,204,100,71,3
129,2021,Python,205,100,83,3
130,3042,Physics,301,100,62,4
130,3042,Chemistry,302,100,58,4
130,3042,Biology,303,100,74,3
130,3042,Mathematics,304,100,80,3
130,3042,English,305,100,67,2
131,3043,Physics,301,100,70,4
131,3043,Chemistry,302,100,75,4
131,3043,Biology,303,100,68,3
131,3043,Mathematics,304,100,82,3
131,3043,English,305,100,90,2
133,1044,Mathematics,101,100,78,4
133,1044,C++,102,100,85,3
133,1044,English,103,100,72,2
133,1044,Data Structures,104,100,91,4
133,1044,Networking,105,100,66,3
134,1045,Mathematics,101,100,95,4
134,1045,C++,102,100,92,3
134,1045,English,103,100,85,2
134,1045,Data Structures,104,100,79,4
134,1045,Networking,105,100,88,3
135,2022,Algorithms,201,100,55,4
135,2022,DBMS,202,100,60,4
135,2022,OS,203,100,48,3
135,2022,Networks,204,100,71,3
135,2022,Python,205,100,83,3
136,3044,Physics,301,100,62,4
136,3044,Chemistry,302,100,58,4
136,3044,Biology,303,100,74,3
136,3044,Mathematics,304,100,80,3
136,3044,English,305,100,67,2
137,3045,Physics,301,100,70,4
137,3045,Chemistry,302,100,75,4
137,3045,Biology,303,100,68,3
137,3045,Mathematics,304,100,82,3
137,3045,English,305,100,90,2
139,1046,Mathematics,101,100,78,4
139,1046,C++,102,100,85,3
139,1046,English,103,100,72,2
139,1046,Data Structures,104,100,91,4
139,1046,Networking,105,100,66,3
140,1047,Mathematics,101,100,95,4
140,1047,C++,102,100,92,3
140,1047,English,103,100,85,2
140,1047,Data Structures,104,100,79,4
140,1047,Networking,105,100,88,3
141,2023,Algorithms,201,100,55,4
141,2023,DBMS,202,100,60,4
141,2023,OS,203,100,48,3
141,2023,Networks,204,100,71,3
141,2023,Python,205,100,83,3
142,3046,Physics,301,100,62,4
142,3046,Chemistry,302,100,58,4
142,3046,Biology,303,100,74,3
142,3046,Mathematics,304,100,80,3
142,3046,English,305,100,67,2
143,3047,Physics,301,100,70,4
143,3047,Chemistry,302,100,75,4
143,3047,Biology,303,100,68,3
143,3047,Mathematics,304,100,82,3
143,3047,English,305,100,90,2
145,1048,Mathematics,101,100,78,4
145,1048,C++,102,100,85,3
145,1048,English,103,100,72,2
145,1048,Data Structures,104,100,91,4
145,1048,Networking,105,100,66,3
146,1049,Mathematics,101,100,95,4
146,1049,C++,102,100,92,3
146,1049,English,103,100,85,2
146,1049,Data Structures,104,100,79,4
146,1049,Networking,105,100,88,3
147,2024,Algorithms,201,100,55,4
147,2024,DBMS,202,100,60,4
147,2024,OS,203,100,48,3
147,2024,Networks,204,100,71,3
147,2024,Python,205,100,83,3
148,3048,Physics,301,100,62,4
148,3048,Chemistry,302,100,58,4
148,3048,Biology,303,100,74,3
148,3048,Mathematics,304,100,80,3
148,3048,English,305,100,67,2
149,3049,Physics,301,100,70,4
149,3049,Chemistry,302,100,75,4
149,3049,Biology,303,100,68,3
149,3049,Mathematics,304,100,82,3
149,3049,English,305,100,90,2
151,1050,Mathematics,101,100,78,4
151,1050,C++,102,100,85,3
151,1050,English,103,100,72,2
151,1050,Data Structures,104,100,91,4
151,1050,Networking,105,100,66,3
152,1051,Mathematics,101,100,95,4
152,1051,C++,102,100,92,3
152,1051,English,103,100,85,2
152,1051,Data Structures,104,100,79,4
152,1051,Networking,105,100,88,3
153,2025,Algorithms,201,100,55,4
153,2025,DBMS,202,100,60,4
153,2025,OS,203,100,48,3
153,2025,Networks,204,100,71,3
153,2025,Python,205,100,83,3
154,3050,Physics,301,100,62,4
154,3050,Chemistry,302,100,58,4
154,3050,Biology,303,100,74,3
154,3050,Mathematics,304,100,80,3
154,3050,English,305,100,67,2
155,3051,Physics,301,100,70,4
155,3051,Chemistry,302,100,75,4
155,3051,Biology,303,100,68,3
155,3051,Mathematics,304,100,82,3
155,3051,English,305,100,90,2
157,1052,Mathematics,101,100,78,4
157,1052,C++,102,100,85,3
157,1052,English,103,100,72,2
157,1052,Data Structures,104,100,91,4
157,1052,Networking,105,100,66,3
158,1053,Mathematics,101,100,95,4
158,1053,C++,102,100,92,3
158,1053,English,103,100,85,2
158,1053,Data Structures,104,100,79,4
158,1053,Networking,105,100,88,3
159,2026,Algorithms,201,100,55,4
159,2026,DBMS,202,100,60,4
159,2026,OS,203,100,48,3
159,2026,Networks,204,100,71,3
159,2026,Python,205,100,83,3
160,3052,Physics,301,100,62,4
160,3052,Chemistry,302,100,58,4
160,3052,Biology,303,100,74,3
160,3052,Mathematics,304,100,80,3
160,3052,English,305,100,67,2
161,3053,Physics,301,100,70,4
161,3053,Chemistry,302,100,75,4
161,3053,Biology,303,100,68,3
161,3053,Mathematics,304,100,82,3
161,3053,English,305,100,90,2
163,1054,Mathematics,101,100,78,4
163,1054,C++,102,100,85,3
163,1054,English,103,100,72,2
163,1054,Data Structures,104,100,91,4
163,1054,Networking,105,100,66,3
164,1055,Mathematics,101,100,95,4
164,1055,C++,102,100,92,3
164,1055,English,103,100,85,2
164,1055,Data Structures,104,100,79,4
164,1055,Networking,105,100,88,3
165,2027,Algorithms,201,100,55,4
165,2027,DBMS,202,100,60,4
165,2027,OS,203,100,48,3
165,2027,Networks,204,100,71,3
165,2027,Python,205,100,83,3
166,3054,Physics,301,100,62,4
166,3054,Chemistry,302,100,58,4
166,3054,Biology,303,100,74,3
166,3054,Mathematics,304,100,80,3
166,3054,English,305,100,67,2
167,3055,Physics,301,100,70,4
167,3055,Chemistry,302,100,75,4
167,3055,Biology,303,100,68,3
167,3055,Mathematics,304,100,82,3
167,3055,English,305,100,90,2
169,1056,Mathematics,101,100,78,4
169,1056,C++,102,100,85,3
169,1056,English,103,100,72,2
169,1056,Data Structures,104,100,91,4
169,1056,Networking,105,100,66,3
170,1057,Mathematics,101,100,95,4
170,1057,C++,102,100,92,3
170,1057,English,103,100,85,2
170,1057,Data Structures,104,100,79,4
170,1057,Networking,105,100,88,3
171,2028,Algorithms,201,100,55,4
171,2028,DBMS,202,100,60,4
171,2028,OS,203,100,48,3
171,2028,Networks,204,100,71,3
171,2028,Python,205,100,83,3
172,3056,Physics,301,100,62,4
172,3056,Chemistry,302,100,58,4
172,3056,Biology,303,100,74,3
172,3056,Mathematics,304,100,80,3
172,3056,English,305,100,67,2
173,3057,Physics,301,100,70,4
173,3057,Chemistry,302,100,75,4
173,3057,Biology,303,100,68,3
173,3057,Mathematics,304,100,82,3
173,3057,English,305,100,90,2
175,1058,Mathematics,101,100,78,4
175,1058,C++,102,100,85,3
175,1058,English,103,100,72,2
175,1058,Data Structures,104,100,91,4
175,1058,Networking,105,100,66,3
176,1059,Mathematics,101,100,95,4
176,1059,C++,102,100,92,3
176,1059,English,103,100,85,2
176,1059,Data Structures,104,100,79,4
176,1059,Networking,105,100,88,3
177,2029,Algorithms,201,100,55,4
177,2029,DBMS,202,100,60,4
177,2029,OS,203,100,48,3
177,2029,Networks,204,100,71,3
177,2029,Python,205,100,83,3
178,3058,Physics,301,100,62,4
178,3058,Chemistry,302,100,58,4
178,3058,Biology,303,100,74,3
178,3058,Mathematics,304,100,80,3
178,3058,English,305,100,67,2
179,3059,Physics,301,100,70,4
179,3059,Chemistry,302,100,75,4
179,3059,Biology,303,100,68,3
179,3059,Mathematics,304,100,82,3
179,3059,English,305,100,90,2
181,1060,Mathematics,101,100,78,4
181,1060,C++,102,100,85,3
181,1060,English,103,100,72,2
181,1060,Data Structures,104,100,91,4
181,1060,Networking,105,100,66,3
182,1061,Mathematics,101,100,95,4
182,1061,C++,102,100,92,3
182,1061,English,103,100,85,2
182,1061,Data Structures,104,100,79,4
182,1061,Networking,105,100,88,3
183,2030,Algorithms,201,100,55,4
183,2030,DBMS,202,100,60,4
183,2030,OS,203,100,48,3
183,2030,Networks,204,100,71,3
183,2030,Python,205,100,83,3
184,3060,Physics,301,100,62,4
184,3060,Chemistry,302,100,58,4
184,3060,Biology,303,100,74,3
184,3060,Mathematics,304,100,80,3
184,3060,English,305,100,67,2
185,3061,Physics,301,100,70,4
185,3061,Chemistry,302,100,75,4
185,3061,Biology,303,100,68,3
185,3061,Mathematics,304,100,82,3
185,3061,English,305,100,90,2
187,1062,Mathematics,101,100,78,4
187,1062,C++,102,100,85,3
187,1062,English,103,100,72,2
187,1062,Data Structures,104,100,91,4
187,1062,Networking,105,100,66,3
188,1063,Mathematics,101,100,95,4
188,1063,C++,102,100,92,3
188,1063,English,103,100,85,2
188,1063,Data Structures,104,100,79,4
188,1063,Networking,105,100,88,3
189,2031,Algorithms,201,100,55,4
189,2031,DBMS,202,100,60,4
189,2031,OS,203,100,48,3
189,2031,Networks,204,100,71,3
189,2031,Python,205,100,83,3
190,3062,Physics,301,100,62,4
190,3062,Chemistry,302,100,58,4
190,3062,Biology,303,100,74,3
190,3062,Mathematics,304,100,80,3
190,3062,English,305,100,67,2
191,3063,Physics,301,100,70,4
191,3063,Chemistry,302,100,75,4
191,3063,Biology,303,100,68,3
191,3063,Mathematics,304,100,82,3
191,3063,English,305,100,90,2
193,1064,Mathematics,101,100,78,4
193,1064,C++,102,100,85,3
193,1064,English,103,100,72,2
193,1064,Data Structures,104,100,91,4
193,1064,Networking,105,100,66,3
194,1065,Mathematics,101,100,95,4
